"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2602",4,1,"disamb","fp",72,"disamb fp",4,0,628,628,-0.5,0.5
"2604",4,20,"disamb","fp",72,"disamb fp",3,0,287,287,-0.5,-0.5
"2606",4,23,"disamb","fp",72,"disamb fp",2,0,282,282,0.5,0.5
"2608",4,3,"disamb","fp",72,"disamb fp",2,0,393,393,0.5,0.5
"2611",4,19,"disamb","fp",72,"disamb fp",2,0,262,262,0.5,0.5
"2613",4,13,"disamb","fp",72,"disamb fp",4,0,224,224,-0.5,0.5
"2615",4,9,"disamb","fp",72,"disamb fp",4,0,269,269,-0.5,0.5
"2617",4,2,"disamb","fp",72,"disamb fp",1,0,529,529,0.5,-0.5
"2620",4,4,"disamb","fp",72,"disamb fp",3,0,479,479,-0.5,-0.5
"2622",4,12,"disamb","fp",72,"disamb fp",3,0,488,488,-0.5,-0.5
"2624",4,16,"disamb","fp",72,"disamb fp",3,0,400,400,-0.5,-0.5
"2627",4,18,"disamb","fp",72,"disamb fp",1,0,325,325,0.5,-0.5
"2629",4,24,"disamb","fp",72,"disamb fp",3,0,293,293,-0.5,-0.5
"2631",4,6,"disamb","fp",72,"disamb fp",1,0,369,369,0.5,-0.5
"2633",4,17,"disamb","fp",72,"disamb fp",4,0,263,263,-0.5,0.5
"2636",4,14,"disamb","fp",72,"disamb fp",1,0,613,613,0.5,-0.5
"3385",5,13,"disamb","fp",66,"disamb fp",1,0,288,288,0.5,-0.5
"3387",5,4,"disamb","fp",66,"disamb fp",4,0,325,325,-0.5,0.5
"3389",5,9,"disamb","fp",66,"disamb fp",1,0,289,289,0.5,-0.5
"3391",5,8,"disamb","fp",66,"disamb fp",4,0,505,505,-0.5,0.5
"3393",5,7,"disamb","fp",66,"disamb fp",3,0,481,481,-0.5,-0.5
"3395",5,16,"disamb","fp",66,"disamb fp",4,0,377,377,-0.5,0.5
"3397",5,19,"disamb","fp",66,"disamb fp",3,0,1122,1122,-0.5,-0.5
