"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1",1922,"Native",1,24,"spillover1","fp","spillover1 fp",4,0,364,364,0.5,0.5
"2",1924,"Native",1,12,"spillover1","fp","spillover1 fp",4,0,272,272,0.5,0.5
"3",1926,"Native",1,6,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5
"4",1928,"Native",1,7,"spillover1","fp","spillover1 fp",3,1,0,NA,0.5,0.5
"5",1930,"Native",1,14,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5
"6",1932,"Native",1,21,"spillover1","fp","spillover1 fp",1,0,195,195,0.5,0.5
"7",1934,"Native",1,19,"spillover1","fp","spillover1 fp",3,0,206,206,0.5,0.5
"8",1936,"Native",1,17,"spillover1","fp","spillover1 fp",1,0,265,265,0.5,0.5
"9",1938,"Native",1,10,"spillover1","fp","spillover1 fp",2,0,185,185,0.5,0.5
"10",1940,"Native",1,23,"spillover1","fp","spillover1 fp",3,0,290,290,0.5,0.5
"11",1942,"Native",1,15,"spillover1","fp","spillover1 fp",3,0,195,195,0.5,0.5
"12",1944,"Native",1,1,"spillover1","fp","spillover1 fp",1,0,179,179,0.5,0.5
"13",1946,"Native",1,2,"spillover1","fp","spillover1 fp",2,0,209,209,0.5,0.5
"14",1948,"Native",1,5,"spillover1","fp","spillover1 fp",1,0,408,408,0.5,0.5
"15",1950,"Native",1,16,"spillover1","fp","spillover1 fp",4,0,233,233,0.5,0.5
"16",1952,"Native",1,3,"spillover1","fp","spillover1 fp",3,0,545,545,0.5,0.5
"17",1954,"Native",1,13,"spillover1","fp","spillover1 fp",1,0,197,197,0.5,0.5
"18",1956,"Native",1,11,"spillover1","fp","spillover1 fp",3,0,220,220,0.5,0.5
"19",1958,"Native",1,9,"spillover1","fp","spillover1 fp",1,0,178,178,0.5,0.5
"20",1960,"Native",1,8,"spillover1","fp","spillover1 fp",4,0,442,442,0.5,0.5
"21",1962,"Native",1,4,"spillover1","fp","spillover1 fp",4,0,224,224,0.5,0.5
"22",1964,"Native",1,20,"spillover1","fp","spillover1 fp",4,0,341,341,0.5,0.5
"23",1966,"Native",1,18,"spillover1","fp","spillover1 fp",2,0,266,266,0.5,0.5
"24",1968,"Native",1,22,"spillover1","fp","spillover1 fp",2,0,433,433,0.5,0.5
"25",1970,"Native",2,14,"spillover1","fp","spillover1 fp",3,0,208,208,0.5,0.5
