"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",21121,"Native",1,38,"wrap_up","rp","wrap_up rp",6,0,2394,2394,-0.5,-0.5
"2",21123,"Native",1,39,"wrap_up","rp","wrap_up rp",7,0,3946,3946,0.5,0.5
"3",21125,"Native",1,26,"wrap_up","rp","wrap_up rp",6,0,503,503,-0.5,-0.5
"4",21127,"Native",1,34,"wrap_up","rp","wrap_up rp",6,0,1627,1627,-0.5,-0.5
"5",21129,"Native",1,46,"wrap_up","rp","wrap_up rp",6,0,5696,5696,-0.5,-0.5
"6",21131,"Native",1,29,"wrap_up","rp","wrap_up rp",5,0,424,424,0.5,-0.5
"7",21133,"Native",1,36,"wrap_up","rp","wrap_up rp",8,0,10098,10098,-0.5,0.5
"8",21135,"Native",1,30,"wrap_up","rp","wrap_up rp",6,0,542,542,-0.5,-0.5
"9",21137,"Native",1,40,"wrap_up","rp","wrap_up rp",8,0,2030,2030,-0.5,0.5
"10",21139,"Native",1,33,"wrap_up","rp","wrap_up rp",5,0,2761,2761,0.5,-0.5
"11",21141,"Native",1,43,"wrap_up","rp","wrap_up rp",7,0,897,897,0.5,0.5
"12",21143,"Native",1,28,"wrap_up","rp","wrap_up rp",8,0,2465,2465,-0.5,0.5
"13",21145,"Native",1,31,"wrap_up","rp","wrap_up rp",7,0,403,403,0.5,0.5
"14",21147,"Native",1,45,"wrap_up","rp","wrap_up rp",5,0,644,644,0.5,-0.5
"15",21149,"Native",1,25,"wrap_up","rp","wrap_up rp",5,0,2355,2355,0.5,-0.5
"16",21151,"Native",1,41,"wrap_up","rp","wrap_up rp",5,0,7144,7144,0.5,-0.5
"17",21153,"Native",1,42,"wrap_up","rp","wrap_up rp",6,0,219,219,-0.5,-0.5
"18",21155,"Native",1,37,"wrap_up","rp","wrap_up rp",5,0,3480,3480,0.5,-0.5
"19",21157,"Native",1,32,"wrap_up","rp","wrap_up rp",8,0,323,323,-0.5,0.5
"20",21159,"Native",1,48,"wrap_up","rp","wrap_up rp",8,0,1784,1784,-0.5,0.5
"21",21161,"Native",1,47,"wrap_up","rp","wrap_up rp",7,0,419,419,0.5,0.5
"22",21163,"Native",1,44,"wrap_up","rp","wrap_up rp",8,0,2000,2000,-0.5,0.5
"23",21165,"Native",1,27,"wrap_up","rp","wrap_up rp",7,0,5651,5651,0.5,0.5
"24",21167,"Native",1,35,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5
"25",21169,"Native",2,46,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5
"26",21171,"Native",2,25,"wrap_up","rp","wrap_up rp",6,0,285,285,-0.5,-0.5
"27",21173,"Native",2,39,"wrap_up","rp","wrap_up rp",8,0,4549,4549,-0.5,0.5
"28",21175,"Native",2,38,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5
"29",21177,"Native",2,30,"wrap_up","rp","wrap_up rp",7,0,695,695,0.5,0.5
"30",21179,"Native",2,27,"wrap_up","rp","wrap_up rp",8,0,9085,9085,-0.5,0.5
"31",21181,"Native",2,29,"wrap_up","rp","wrap_up rp",6,0,6373,6373,-0.5,-0.5
"32",21183,"Native",2,33,"wrap_up","rp","wrap_up rp",6,1,0,NA,-0.5,-0.5
"33",21185,"Native",2,32,"wrap_up","rp","wrap_up rp",5,0,128,128,0.5,-0.5
"34",21187,"Native",2,43,"wrap_up","rp","wrap_up rp",8,0,2030,2030,-0.5,0.5
"35",21189,"Native",2,45,"wrap_up","rp","wrap_up rp",6,1,0,NA,-0.5,-0.5
"36",21191,"Native",2,48,"wrap_up","rp","wrap_up rp",5,0,323,323,0.5,-0.5
"37",21193,"Native",2,47,"wrap_up","rp","wrap_up rp",8,0,422,422,-0.5,0.5
"38",21195,"Native",2,31,"wrap_up","rp","wrap_up rp",8,1,0,NA,-0.5,0.5
"39",21197,"Native",2,26,"wrap_up","rp","wrap_up rp",7,0,112,112,0.5,0.5
"40",21199,"Native",2,42,"wrap_up","rp","wrap_up rp",7,0,97,97,0.5,0.5
"41",21201,"Native",2,36,"wrap_up","rp","wrap_up rp",5,0,677,677,0.5,-0.5
"42",21203,"Native",2,35,"wrap_up","rp","wrap_up rp",8,1,0,NA,-0.5,0.5
"43",21205,"Native",2,44,"wrap_up","rp","wrap_up rp",5,0,320,320,0.5,-0.5
"44",21207,"Native",2,41,"wrap_up","rp","wrap_up rp",6,0,1977,1977,-0.5,-0.5
"45",21209,"Native",2,37,"wrap_up","rp","wrap_up rp",6,0,1790,1790,-0.5,-0.5
"46",21211,"Native",2,40,"wrap_up","rp","wrap_up rp",5,0,421,421,0.5,-0.5
"47",21213,"Native",2,28,"wrap_up","rp","wrap_up rp",5,0,414,414,0.5,-0.5
"48",21215,"Native",2,34,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5
"49",21218,"Native",3,34,"wrap_up","rp","wrap_up rp",8,0,3847,3847,-0.5,0.5
"50",21220,"Native",3,30,"wrap_up","rp","wrap_up rp",8,0,8973,8973,-0.5,0.5
"51",21222,"Native",3,38,"wrap_up","rp","wrap_up rp",8,0,7568,7568,-0.5,0.5
"52",21224,"Native",3,43,"wrap_up","rp","wrap_up rp",5,0,8277,8277,0.5,-0.5
"53",21226,"Native",3,47,"wrap_up","rp","wrap_up rp",5,0,8565,8565,0.5,-0.5
"54",21228,"Native",3,25,"wrap_up","rp","wrap_up rp",7,0,8299,8299,0.5,0.5
"55",21230,"Native",3,37,"wrap_up","rp","wrap_up rp",7,0,2096,2096,0.5,0.5
"56",21232,"Native",3,40,"wrap_up","rp","wrap_up rp",6,0,6768,6768,-0.5,-0.5
"57",21234,"Native",3,42,"wrap_up","rp","wrap_up rp",8,0,2694,2694,-0.5,0.5
"58",21236,"Native",3,33,"wrap_up","rp","wrap_up rp",7,0,3210,3210,0.5,0.5
"59",21238,"Native",3,39,"wrap_up","rp","wrap_up rp",5,0,2013,2013,0.5,-0.5
"60",21240,"Native",3,41,"wrap_up","rp","wrap_up rp",7,0,2123,2123,0.5,0.5
"61",21242,"Native",3,27,"wrap_up","rp","wrap_up rp",5,0,1005,1005,0.5,-0.5
"62",21244,"Native",3,29,"wrap_up","rp","wrap_up rp",7,0,1985,1985,0.5,0.5
"63",21246,"Native",3,46,"wrap_up","rp","wrap_up rp",8,0,3325,3325,-0.5,0.5
"64",21248,"Native",3,28,"wrap_up","rp","wrap_up rp",6,0,1432,1432,-0.5,-0.5
"65",21250,"Native",3,35,"wrap_up","rp","wrap_up rp",5,0,1131,1131,0.5,-0.5
"66",21252,"Native",3,45,"wrap_up","rp","wrap_up rp",7,0,1832,1832,0.5,0.5
"67",21254,"Native",3,32,"wrap_up","rp","wrap_up rp",6,0,3081,3081,-0.5,-0.5
"68",21256,"Native",3,26,"wrap_up","rp","wrap_up rp",8,0,3236,3236,-0.5,0.5
"69",21258,"Native",3,36,"wrap_up","rp","wrap_up rp",6,0,4013,4013,-0.5,-0.5
"70",21260,"Native",3,31,"wrap_up","rp","wrap_up rp",5,0,1183,1183,0.5,-0.5
"71",21262,"Native",3,48,"wrap_up","rp","wrap_up rp",6,0,3730,3730,-0.5,-0.5
"72",21264,"Native",3,44,"wrap_up","rp","wrap_up rp",6,0,1801,1801,-0.5,-0.5
