"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"769",1,28,"spillover2","tt",71,0.5,"spillover2 tt",8,0,318,318,-0.5,0.5,318
"771",1,46,"spillover2","tt",71,0.5,"spillover2 tt",6,0,1159,1159,-0.5,-0.5,1159
"773",1,40,"spillover2","tt",71,0.5,"spillover2 tt",8,0,143,143,-0.5,0.5,143
"775",1,25,"spillover2","tt",71,0.5,"spillover2 tt",5,0,661,661,0.5,-0.5,661
"777",1,42,"spillover2","tt",71,0.5,"spillover2 tt",6,0,329,329,-0.5,-0.5,329
"779",1,37,"spillover2","tt",71,0.5,"spillover2 tt",5,0,340,340,0.5,-0.5,340
"781",1,26,"spillover2","tt",71,0.5,"spillover2 tt",6,0,197,197,-0.5,-0.5,197
"783",1,30,"spillover2","tt",71,0.5,"spillover2 tt",6,0,292,292,-0.5,-0.5,292
"785",1,32,"spillover2","tt",71,0.5,"spillover2 tt",8,0,307,307,-0.5,0.5,307
"787",1,31,"spillover2","tt",71,0.5,"spillover2 tt",7,0,175,175,0.5,0.5,175
"789",1,47,"spillover2","tt",71,0.5,"spillover2 tt",7,0,545,545,0.5,0.5,545
"791",1,44,"spillover2","tt",71,0.5,"spillover2 tt",8,0,332,332,-0.5,0.5,332
"793",1,27,"spillover2","tt",71,0.5,"spillover2 tt",7,0,149,149,0.5,0.5,149
"795",1,33,"spillover2","tt",71,0.5,"spillover2 tt",5,0,328,328,0.5,-0.5,328
"797",1,45,"spillover2","tt",71,0.5,"spillover2 tt",5,0,530,530,0.5,-0.5,530
"799",1,34,"spillover2","tt",71,0.5,"spillover2 tt",6,0,229,229,-0.5,-0.5,229
"801",1,35,"spillover2","tt",71,0.5,"spillover2 tt",7,0,422,422,0.5,0.5,422
"803",1,29,"spillover2","tt",71,0.5,"spillover2 tt",5,0,858,858,0.5,-0.5,858
"805",1,41,"spillover2","tt",71,0.5,"spillover2 tt",5,0,224,224,0.5,-0.5,224
"807",1,38,"spillover2","tt",71,0.5,"spillover2 tt",6,0,347,347,-0.5,-0.5,347
"809",1,43,"spillover2","tt",71,0.5,"spillover2 tt",7,0,156,156,0.5,0.5,156
"811",1,39,"spillover2","tt",71,0.5,"spillover2 tt",7,0,964,964,0.5,0.5,964
"813",1,48,"spillover2","tt",71,0.5,"spillover2 tt",8,0,343,343,-0.5,0.5,343
"815",1,36,"spillover2","tt",71,0.5,"spillover2 tt",8,0,240,240,-0.5,0.5,240
"1633",2,32,"spillover2","tt",71,0.5,"spillover2 tt",5,0,1411,1411,0.5,-0.5,1411
"1635",2,48,"spillover2","tt",71,0.5,"spillover2 tt",5,0,445,445,0.5,-0.5,445
"1637",2,40,"spillover2","tt",71,0.5,"spillover2 tt",5,0,372,372,0.5,-0.5,372
"1639",2,28,"spillover2","tt",71,0.5,"spillover2 tt",5,1,0,NA,0.5,-0.5,NA
"1641",2,38,"spillover2","tt",71,0.5,"spillover2 tt",7,0,311,311,0.5,0.5,311
"1643",2,42,"spillover2","tt",71,0.5,"spillover2 tt",7,0,143,143,0.5,0.5,143
"1645",2,37,"spillover2","tt",71,0.5,"spillover2 tt",6,0,605,605,-0.5,-0.5,605
"1647",2,29,"spillover2","tt",71,0.5,"spillover2 tt",6,0,290,290,-0.5,-0.5,290
"1649",2,45,"spillover2","tt",71,0.5,"spillover2 tt",6,0,364,364,-0.5,-0.5,364
"1651",2,41,"spillover2","tt",71,0.5,"spillover2 tt",6,0,303,303,-0.5,-0.5,303
"1653",2,35,"spillover2","tt",71,0.5,"spillover2 tt",8,0,290,290,-0.5,0.5,290
"1655",2,44,"spillover2","tt",71,0.5,"spillover2 tt",5,0,201,201,0.5,-0.5,201
"1657",2,46,"spillover2","tt",71,0.5,"spillover2 tt",7,1,0,NA,0.5,0.5,NA
"1659",2,26,"spillover2","tt",71,0.5,"spillover2 tt",7,1,0,NA,0.5,0.5,NA
"1661",2,25,"spillover2","tt",71,0.5,"spillover2 tt",6,1,0,NA,-0.5,-0.5,NA
"1663",2,47,"spillover2","tt",71,0.5,"spillover2 tt",8,1,0,NA,-0.5,0.5,NA
"1665",2,34,"spillover2","tt",71,0.5,"spillover2 tt",7,0,350,350,0.5,0.5,350
"1667",2,43,"spillover2","tt",71,0.5,"spillover2 tt",8,0,573,573,-0.5,0.5,573
"1669",2,33,"spillover2","tt",71,0.5,"spillover2 tt",6,0,621,621,-0.5,-0.5,621
"1671",2,39,"spillover2","tt",71,0.5,"spillover2 tt",8,0,393,393,-0.5,0.5,393
"1673",2,30,"spillover2","tt",71,0.5,"spillover2 tt",7,0,370,370,0.5,0.5,370
"1675",2,31,"spillover2","tt",71,0.5,"spillover2 tt",8,0,155,155,-0.5,0.5,155
"1677",2,36,"spillover2","tt",71,0.5,"spillover2 tt",5,0,1085,1085,0.5,-0.5,1085
"1679",2,27,"spillover2","tt",71,0.5,"spillover2 tt",8,1,0,NA,-0.5,0.5,NA
"2497",3,36,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,207,207,-0.5,-0.5,207
"2499",3,27,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,678,678,0.5,-0.5,678
"2501",3,37,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,459,459,0.5,0.5,459
"2503",3,41,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,431,431,0.5,0.5,431
"2505",3,26,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,618,618,-0.5,0.5,618
"2507",3,45,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,1014,1014,0.5,0.5,1014
"2509",3,42,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,887,887,-0.5,0.5,887
"2511",3,47,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,1080,1080,0.5,-0.5,1080
"2513",3,29,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,2073,2073,0.5,0.5,2073
"2515",3,34,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,427,427,-0.5,0.5,427
"2517",3,39,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,870,870,0.5,-0.5,870
"2519",3,48,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,340,340,-0.5,-0.5,340
"2521",3,44,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,413,413,-0.5,-0.5,413
"2523",3,43,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,360,360,0.5,-0.5,360
"2525",3,28,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,469,469,-0.5,-0.5,469
"2527",3,40,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,171,171,-0.5,-0.5,171
"2529",3,30,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,1296,1296,-0.5,0.5,1296
"2531",3,32,"spillover2","tt",74,-0.5,"spillover2 tt",6,0,1264,1264,-0.5,-0.5,1264
"2533",3,25,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,814,814,0.5,0.5,814
"2535",3,38,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,344,344,-0.5,0.5,344
"2537",3,33,"spillover2","tt",74,-0.5,"spillover2 tt",7,0,510,510,0.5,0.5,510
"2539",3,31,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,258,258,0.5,-0.5,258
"2541",3,46,"spillover2","tt",74,-0.5,"spillover2 tt",8,0,1398,1398,-0.5,0.5,1398
"2543",3,35,"spillover2","tt",74,-0.5,"spillover2 tt",5,0,461,461,0.5,-0.5,461
"3297",4,28,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,1145,1145,0.5,0.5,1145
"3299",4,31,"spillover2","tt",72,-0.5,"spillover2 tt",6,0,1264,1264,-0.5,-0.5,1264
"3301",4,44,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,436,436,0.5,0.5,436
"3303",4,26,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,1088,1088,0.5,-0.5,1088
"3305",4,37,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,805,805,-0.5,0.5,805
"3307",4,32,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,1687,1687,0.5,0.5,1687
"3309",4,36,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,708,708,0.5,0.5,708
"3311",4,38,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,1087,1087,0.5,-0.5,1087
"3313",4,46,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,1879,1879,0.5,-0.5,1879
"3314",4,29,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,968,968,-0.5,0.5,968
"3316",4,43,"spillover2","tt",72,-0.5,"spillover2 tt",6,0,695,695,-0.5,-0.5,695
"3318",4,33,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,2017,2017,-0.5,0.5,2017
"3320",4,45,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,845,845,-0.5,0.5,845
"3322",4,30,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,284,284,0.5,-0.5,284
"3323",4,40,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,381,381,0.5,0.5,381
"3325",4,41,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,452,452,-0.5,0.5,452
"3327",4,48,"spillover2","tt",72,-0.5,"spillover2 tt",7,0,464,464,0.5,0.5,464
"3329",4,42,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,1233,1233,0.5,-0.5,1233
"3330",4,25,"spillover2","tt",72,-0.5,"spillover2 tt",8,0,1128,1128,-0.5,0.5,1128
"3332",4,27,"spillover2","tt",72,-0.5,"spillover2 tt",6,0,593,593,-0.5,-0.5,593
"3334",4,47,"spillover2","tt",72,-0.5,"spillover2 tt",6,0,1357,1357,-0.5,-0.5,1357
"3336",4,39,"spillover2","tt",72,-0.5,"spillover2 tt",6,0,1257,1257,-0.5,-0.5,1257
"3338",4,34,"spillover2","tt",72,-0.5,"spillover2 tt",5,0,779,779,0.5,-0.5,779
