"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2050",3,20,"disamb","rp",74,-0.5,"disamb rp",2,0,756,756,0.5,0.5,756
"2052",3,11,"disamb","rp",74,-0.5,"disamb rp",1,0,302,302,0.5,-0.5,302
"2054",3,2,"disamb","rp",74,-0.5,"disamb rp",4,0,177,177,-0.5,0.5,177
"2056",3,12,"disamb","rp",74,-0.5,"disamb rp",2,0,310,310,0.5,0.5,310
"2058",3,21,"disamb","rp",74,-0.5,"disamb rp",3,0,397,397,-0.5,-0.5,397
"2060",3,15,"disamb","rp",74,-0.5,"disamb rp",1,0,915,915,0.5,-0.5,915
"2062",3,8,"disamb","rp",74,-0.5,"disamb rp",2,0,391,391,0.5,0.5,391
"2064",3,3,"disamb","rp",74,-0.5,"disamb rp",1,0,697,697,0.5,-0.5,697
"2858",4,7,"disamb","rp",72,-0.5,"disamb rp",2,0,720,720,0.5,0.5,720
"2860",4,8,"disamb","rp",72,-0.5,"disamb rp",3,0,282,282,-0.5,-0.5,282
"2862",4,11,"disamb","rp",72,-0.5,"disamb rp",2,0,520,520,0.5,0.5,520
"2864",4,22,"disamb","rp",72,-0.5,"disamb rp",1,0,798,798,0.5,-0.5,798
"2866",4,1,"disamb","rp",72,-0.5,"disamb rp",4,0,628,628,-0.5,0.5,628
"2868",4,20,"disamb","rp",72,-0.5,"disamb rp",3,0,287,287,-0.5,-0.5,287
"2870",4,23,"disamb","rp",72,-0.5,"disamb rp",2,0,282,282,0.5,0.5,282
"2872",4,3,"disamb","rp",72,-0.5,"disamb rp",2,0,5626,5626,0.5,0.5,NA
"2875",4,19,"disamb","rp",72,-0.5,"disamb rp",2,0,262,262,0.5,0.5,262
"2877",4,13,"disamb","rp",72,-0.5,"disamb rp",4,0,224,224,-0.5,0.5,224
"2879",4,9,"disamb","rp",72,-0.5,"disamb rp",4,0,269,269,-0.5,0.5,269
"2881",4,2,"disamb","rp",72,-0.5,"disamb rp",1,0,529,529,0.5,-0.5,529
"2884",4,4,"disamb","rp",72,-0.5,"disamb rp",3,0,479,479,-0.5,-0.5,479
"2886",4,12,"disamb","rp",72,-0.5,"disamb rp",3,0,488,488,-0.5,-0.5,488
"2888",4,16,"disamb","rp",72,-0.5,"disamb rp",3,0,400,400,-0.5,-0.5,400
"2891",4,18,"disamb","rp",72,-0.5,"disamb rp",1,0,325,325,0.5,-0.5,325
"2893",4,24,"disamb","rp",72,-0.5,"disamb rp",3,0,293,293,-0.5,-0.5,293
"2895",4,6,"disamb","rp",72,-0.5,"disamb rp",1,0,369,369,0.5,-0.5,369
"2897",4,17,"disamb","rp",72,-0.5,"disamb rp",4,0,263,263,-0.5,0.5,263
"2900",4,14,"disamb","rp",72,-0.5,"disamb rp",1,0,613,613,0.5,-0.5,613
"3673",5,13,"disamb","rp",66,0.5,"disamb rp",1,0,288,288,0.5,-0.5,288
"3675",5,4,"disamb","rp",66,0.5,"disamb rp",4,0,325,325,-0.5,0.5,325
"3677",5,9,"disamb","rp",66,0.5,"disamb rp",1,0,289,289,0.5,-0.5,289
"3679",5,8,"disamb","rp",66,0.5,"disamb rp",4,0,505,505,-0.5,0.5,505
"3681",5,7,"disamb","rp",66,0.5,"disamb rp",3,0,481,481,-0.5,-0.5,481
"3683",5,16,"disamb","rp",66,0.5,"disamb rp",4,0,886,886,-0.5,0.5,886
"3685",5,19,"disamb","rp",66,0.5,"disamb rp",3,0,1122,1122,-0.5,-0.5,1122
"3687",5,17,"disamb","rp",66,0.5,"disamb rp",1,0,448,448,0.5,-0.5,448
"3689",5,3,"disamb","rp",66,0.5,"disamb rp",3,0,292,292,-0.5,-0.5,292
"3691",5,14,"disamb","rp",66,0.5,"disamb rp",2,0,1818,1818,0.5,0.5,1818
"3693",5,1,"disamb","rp",66,0.5,"disamb rp",1,0,522,522,0.5,-0.5,522
"3695",5,15,"disamb","rp",66,0.5,"disamb rp",3,0,279,279,-0.5,-0.5,279
"3697",5,22,"disamb","rp",66,0.5,"disamb rp",2,1,0,NA,0.5,0.5,NA
"3699",5,18,"disamb","rp",66,0.5,"disamb rp",2,0,414,414,0.5,0.5,414
