"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"149",4,44,"disamb","fp","disamb fp",7,0,1384,1384,71,0.5,0.5,1384
"151",4,26,"disamb","fp","disamb fp",5,0,686,686,71,0.5,-0.5,686
"153",4,37,"disamb","fp","disamb fp",8,0,653,653,71,-0.5,0.5,653
"155",4,32,"disamb","fp","disamb fp",7,0,476,476,71,0.5,0.5,476
"157",4,36,"disamb","fp","disamb fp",7,0,690,690,71,0.5,0.5,690
"159",4,38,"disamb","fp","disamb fp",5,0,1002,1002,71,0.5,-0.5,1002
"161",4,46,"disamb","fp","disamb fp",5,0,293,293,71,0.5,-0.5,293
"162",4,29,"disamb","fp","disamb fp",8,0,482,482,71,-0.5,0.5,482
"164",4,43,"disamb","fp","disamb fp",6,0,418,418,71,-0.5,-0.5,418
"166",4,33,"disamb","fp","disamb fp",8,0,957,957,71,-0.5,0.5,957
"168",4,45,"disamb","fp","disamb fp",8,0,636,636,71,-0.5,0.5,636
"170",4,30,"disamb","fp","disamb fp",5,0,244,244,71,0.5,-0.5,244
"171",4,40,"disamb","fp","disamb fp",7,0,331,331,71,0.5,0.5,331
"173",4,41,"disamb","fp","disamb fp",8,0,942,942,71,-0.5,0.5,942
"175",4,48,"disamb","fp","disamb fp",7,0,183,183,71,0.5,0.5,183
"177",4,42,"disamb","fp","disamb fp",5,0,493,493,71,0.5,-0.5,493
"178",4,25,"disamb","fp","disamb fp",8,0,346,346,71,-0.5,0.5,346
"180",4,27,"disamb","fp","disamb fp",6,0,888,888,71,-0.5,-0.5,888
"182",4,47,"disamb","fp","disamb fp",6,0,154,154,71,-0.5,-0.5,154
"184",4,39,"disamb","fp","disamb fp",6,0,594,594,71,-0.5,-0.5,594
"186",4,34,"disamb","fp","disamb fp",5,0,460,460,71,0.5,-0.5,460
"187",4,35,"disamb","fp","disamb fp",6,0,795,795,71,-0.5,-0.5,795
"190",5,42,"disamb","fp","disamb fp",6,0,407,407,71,-0.5,-0.5,407
"192",5,47,"disamb","fp","disamb fp",7,0,284,284,71,0.5,0.5,284
"194",5,25,"disamb","fp","disamb fp",5,0,384,384,71,0.5,-0.5,384
"196",5,43,"disamb","fp","disamb fp",7,0,906,906,71,0.5,0.5,906
"198",5,33,"disamb","fp","disamb fp",5,0,366,366,71,0.5,-0.5,366
"200",5,41,"disamb","fp","disamb fp",5,0,478,478,71,0.5,-0.5,478
"202",5,29,"disamb","fp","disamb fp",5,0,481,481,71,0.5,-0.5,481
"204",5,39,"disamb","fp","disamb fp",7,0,595,595,71,0.5,0.5,595
"206",5,40,"disamb","fp","disamb fp",8,0,709,709,71,-0.5,0.5,709
"208",5,28,"disamb","fp","disamb fp",8,0,644,644,71,-0.5,0.5,644
"210",5,46,"disamb","fp","disamb fp",6,0,271,271,71,-0.5,-0.5,271
"212",5,31,"disamb","fp","disamb fp",7,0,453,453,71,0.5,0.5,453
"214",5,36,"disamb","fp","disamb fp",8,0,390,390,71,-0.5,0.5,390
"216",5,27,"disamb","fp","disamb fp",7,0,452,452,71,0.5,0.5,452
"218",5,38,"disamb","fp","disamb fp",6,0,407,407,71,-0.5,-0.5,407
"220",5,26,"disamb","fp","disamb fp",6,0,195,195,71,-0.5,-0.5,195
"222",5,44,"disamb","fp","disamb fp",8,0,427,427,71,-0.5,0.5,427
"224",5,45,"disamb","fp","disamb fp",5,0,474,474,71,0.5,-0.5,474
"226",5,30,"disamb","fp","disamb fp",6,0,349,349,71,-0.5,-0.5,349
"228",5,32,"disamb","fp","disamb fp",8,0,595,595,71,-0.5,0.5,595
