"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"71",23182,"Native",3,48,"disamb","tt","disamb tt",6,0,1329,1329,0.5,0.5
"72",23184,"Native",3,44,"disamb","tt","disamb tt",6,0,502,502,0.5,0.5
"73",23186,"Native",4,43,"disamb","tt","disamb tt",6,0,594,594,0.5,0.5
"74",23188,"Native",4,33,"disamb","tt","disamb tt",8,0,491,491,0.5,0.5
"75",23190,"Native",4,29,"disamb","tt","disamb tt",8,0,211,211,0.5,0.5
"76",23192,"Native",4,41,"disamb","tt","disamb tt",8,0,183,183,0.5,0.5
"77",23194,"Native",4,26,"disamb","tt","disamb tt",5,0,498,498,0.5,0.5
"78",23196,"Native",4,28,"disamb","tt","disamb tt",7,0,375,375,0.5,0.5
"79",23198,"Native",4,25,"disamb","tt","disamb tt",8,0,273,273,0.5,0.5
"80",23200,"Native",4,34,"disamb","tt","disamb tt",5,0,347,347,0.5,0.5
"81",23202,"Native",4,38,"disamb","tt","disamb tt",5,0,262,262,0.5,0.5
"82",23204,"Native",4,30,"disamb","tt","disamb tt",5,0,194,194,0.5,0.5
"83",23206,"Native",4,48,"disamb","tt","disamb tt",7,0,166,166,0.5,0.5
"84",23208,"Native",4,27,"disamb","tt","disamb tt",6,0,393,393,0.5,0.5
"85",23210,"Native",4,35,"disamb","tt","disamb tt",6,0,661,661,0.5,0.5
"86",23212,"Native",4,45,"disamb","tt","disamb tt",8,0,293,293,0.5,0.5
"87",23214,"Native",4,42,"disamb","tt","disamb tt",5,0,277,277,0.5,0.5
"88",23216,"Native",4,47,"disamb","tt","disamb tt",6,0,218,218,0.5,0.5
"89",23218,"Native",4,39,"disamb","tt","disamb tt",6,0,303,303,0.5,0.5
"90",23220,"Native",4,44,"disamb","tt","disamb tt",7,0,187,187,0.5,0.5
"91",23222,"Native",4,32,"disamb","tt","disamb tt",7,0,837,837,0.5,0.5
"92",23224,"Native",4,37,"disamb","tt","disamb tt",8,0,231,231,0.5,0.5
"93",23226,"Native",4,46,"disamb","tt","disamb tt",5,1,0,NA,0.5,0.5
"94",23228,"Native",4,31,"disamb","tt","disamb tt",6,0,293,293,0.5,0.5
"95",23230,"Native",4,40,"disamb","tt","disamb tt",7,0,565,565,0.5,0.5
"96",23232,"Native",4,36,"disamb","tt","disamb tt",7,0,321,321,0.5,0.5
"97",23233,"Native",5,39,"disamb","tt","disamb tt",7,0,1034,1034,0.5,0.5
"98",23235,"Native",5,33,"disamb","tt","disamb tt",5,0,429,429,0.5,0.5
"99",23237,"Native",5,30,"disamb","tt","disamb tt",6,0,308,308,0.5,0.5
"100",23239,"Native",5,46,"disamb","tt","disamb tt",6,0,754,754,0.5,0.5
"101",23241,"Native",5,25,"disamb","tt","disamb tt",5,0,803,803,0.5,0.5
"102",23243,"Native",5,42,"disamb","tt","disamb tt",6,0,257,257,0.5,0.5
"103",23245,"Native",5,41,"disamb","tt","disamb tt",5,0,406,406,0.5,0.5
"104",23247,"Native",5,36,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"105",23249,"Native",5,34,"disamb","tt","disamb tt",6,0,212,212,0.5,0.5
"106",23251,"Native",5,35,"disamb","tt","disamb tt",7,1,0,NA,0.5,0.5
"107",23253,"Native",5,43,"disamb","tt","disamb tt",7,0,443,443,0.5,0.5
"108",23255,"Native",5,47,"disamb","tt","disamb tt",7,0,778,778,0.5,0.5
"109",23257,"Native",5,38,"disamb","tt","disamb tt",6,0,267,267,0.5,0.5
"110",23259,"Native",5,27,"disamb","tt","disamb tt",7,1,0,NA,0.5,0.5
"111",23261,"Native",5,45,"disamb","tt","disamb tt",5,0,215,215,0.5,0.5
"112",23263,"Native",5,37,"disamb","tt","disamb tt",5,0,131,131,0.5,0.5
"113",23265,"Native",5,48,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"114",23267,"Native",5,44,"disamb","tt","disamb tt",8,0,109,109,0.5,0.5
"115",23269,"Native",5,26,"disamb","tt","disamb tt",6,0,164,164,0.5,0.5
"116",23271,"Native",5,32,"disamb","tt","disamb tt",8,0,448,448,0.5,0.5
"117",23273,"Native",5,28,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"118",23275,"Native",5,31,"disamb","tt","disamb tt",7,1,0,NA,0.5,0.5
"119",23277,"Native",5,29,"disamb","tt","disamb tt",5,0,244,244,0.5,0.5
"120",23279,"Native",5,40,"disamb","tt","disamb tt",8,0,190,190,0.5,0.5
"121",23282,"Native",6,30,"disamb","tt","disamb tt",7,0,270,270,0.5,0.5
"122",23284,"Native",6,35,"disamb","tt","disamb tt",8,0,132,132,0.5,0.5
"123",23286,"Native",6,43,"disamb","tt","disamb tt",8,0,264,264,0.5,0.5
"124",23288,"Native",6,36,"disamb","tt","disamb tt",5,0,147,147,0.5,0.5
"125",23290,"Native",6,32,"disamb","tt","disamb tt",5,1,0,NA,0.5,0.5
"126",23292,"Native",6,37,"disamb","tt","disamb tt",6,1,0,NA,0.5,0.5
"127",23294,"Native",6,47,"disamb","tt","disamb tt",8,0,365,365,0.5,0.5
"128",23296,"Native",6,33,"disamb","tt","disamb tt",6,0,360,360,0.5,0.5
"129",23298,"Native",6,41,"disamb","tt","disamb tt",6,0,182,182,0.5,0.5
"130",23300,"Native",6,26,"disamb","tt","disamb tt",7,0,298,298,0.5,0.5
"131",23302,"Native",6,39,"disamb","tt","disamb tt",8,0,132,132,0.5,0.5
"132",23304,"Native",6,38,"disamb","tt","disamb tt",7,0,102,102,0.5,0.5
"133",23306,"Native",6,25,"disamb","tt","disamb tt",6,0,265,265,0.5,0.5
"134",23308,"Native",6,34,"disamb","tt","disamb tt",7,0,179,179,0.5,0.5
"135",23310,"Native",6,27,"disamb","tt","disamb tt",8,0,350,350,0.5,0.5
"136",23312,"Native",6,48,"disamb","tt","disamb tt",5,1,0,NA,0.5,0.5
"137",23314,"Native",6,28,"disamb","tt","disamb tt",5,0,331,331,0.5,0.5
"138",23316,"Native",6,31,"disamb","tt","disamb tt",8,0,183,183,0.5,0.5
"139",23318,"Native",6,46,"disamb","tt","disamb tt",7,0,479,479,0.5,0.5
"140",23320,"Native",6,40,"disamb","tt","disamb tt",5,0,559,559,0.5,0.5
"141",23322,"Native",6,42,"disamb","tt","disamb tt",7,0,467,467,0.5,0.5
"142",23324,"Native",6,45,"disamb","tt","disamb tt",6,0,125,125,0.5,0.5
"143",23326,"Native",6,44,"disamb","tt","disamb tt",5,0,380,380,0.5,0.5
"144",23328,"Native",6,29,"disamb","tt","disamb tt",6,1,0,NA,0.5,0.5
"145",23329,"Native",7,44,"disamb","tt","disamb tt",6,0,1490,1490,0.5,0.5
"146",23331,"Native",7,35,"disamb","tt","disamb tt",5,0,3903,3903,0.5,0.5
